quantile	pvalue	coefficient	error_low	error_high	ngenes	nsamples	predictor	ncase
1	0.00724902221438584	0.0316199345270421	0.00853953951931289	0.0547003295347714	10605	1	Loss of Function	64
2	0.00780533569311597	0.0227430465829607	0.00598738358641885	0.0394987095795025	10605	2	Loss of Function	64
3	0.000834339122500194	0.0191127530284871	0.00790072655450558	0.0303247795024686	10605	5	Loss of Function	64
4	5.38984308102591e-07	0.0214584996770321	0.0130667209530065	0.0298502784010577	10605	10	Loss of Function	64
5	3.03874303648034e-08	0.00984628492974314	0.00636225217019475	0.0133303176892915	10605	99	Loss of Function	64
6	1.28873271605979e-09	0.00761825963246945	0.00515783905163491	0.010078680213304	10605	248	Loss of Function	64
7	0.036802392021514	0.00199557129697894	0.000122288548690763	0.00386885404526711	10605	495	Loss of Function	64
8	0.538456418593995	-0.000774273866057641	-0.0032412812544897	0.00169273352237442	10605	248	Loss of Function	64
9	0.664137312539497	0.000776526066824715	-0.00272868491106906	0.00428173704471849	10605	99	Loss of Function	64
10	0.95594780956197	0.000241922784256691	-0.00834197575088895	0.00882582131940233	10605	10	Loss of Function	64
11	0.400282077170663	-0.00493922835893927	-0.01644878185572	0.00657032513784148	10605	5	Loss of Function	64
12	0.999431894148485	-6.28365710945124e-06	-0.0173036232458252	0.0172910559316063	10605	2	Loss of Function	64
13	0.414958107297674	-0.00999544727839794	-0.0340276945536639	0.0140367999968681	10605	1	Loss of Function	64
1	0.942606349498544	0.000954589115164332	-0.0250334624246045	0.0269426406549332	10605	1	Missense	64
2	0.431518994713313	0.00755172365728283	-0.0112653023993356	0.0263687497139013	10605	2	Missense	64
3	0.316137235012187	0.00643970038040402	-0.00615154891090057	0.0190309496717086	10605	5	Missense	64
4	0.0941015096999328	0.00805895918723038	-0.00137602487321516	0.0174939432476759	10605	10	Missense	64
5	0.202740150868694	0.0025400782719348	-0.0013683986197957	0.0064485551636653	10605	99	Missense	64
6	0.0353316645835552	0.00296041550249357	0.000203317166713541	0.00571751383827359	10605	248	Missense	64
7	0.433736952532111	0.000836419522782365	-0.00125780008828756	0.00293063913385229	10605	495	Missense	64
8	0.159058370977697	0.00197783533587189	-0.000774921271412118	0.00473059194315591	10605	248	Missense	64
9	0.336393473549864	0.00191999155535149	-0.00199462627879869	0.00583460938950167	10605	99	Missense	64
10	0.907218651717977	-0.000570285312435658	-0.0101608755679497	0.00902030494307843	10605	10	Missense	64
11	0.580203742077622	-0.00362391358985937	-0.0164661406477197	0.00921831346800098	10605	5	Missense	64
12	0.992885125076515	8.79027748777333e-05	-0.0192329233567245	0.0194087289064799	10605	2	Missense	64
13	0.470524916997873	-0.00986948145040934	-0.0366758936650464	0.0169369307642277	10605	1	Missense	64
1	0.550175428057254	-0.0129934909355243	-0.0556166851222865	0.0296297032512379	10605	1	Synonymous	64
2	0.734151382302656	0.00535657983431838	-0.0255581255636962	0.0362712852323329	10605	2	Synonymous	64
3	0.674825175305601	-0.00442637070805192	-0.0251056618817787	0.0162529204656748	10605	5	Synonymous	64
4	0.468123761499473	-0.00573868763672144	-0.0212414886673009	0.00976411339385802	10605	10	Synonymous	64
5	0.612976983642491	-0.00165571435865923	-0.00807132665037294	0.00475989793305448	10605	99	Synonymous	64
6	0.964601309941724	0.00010250137003786	-0.00442434823123496	0.00462935097131068	10605	248	Synonymous	64
7	0.805453854438056	-0.000431777580991053	-0.00386783574079828	0.00300428057881618	10605	495	Synonymous	64
8	0.425117114641097	0.00183877002951604	-0.00267991332579154	0.00635745338482362	10605	248	Synonymous	64
9	0.75822441644517	0.00100907822260494	-0.00541622389770695	0.00743438034291683	10605	99	Synonymous	64
10	0.821973241502073	-0.00180560891436692	-0.0175339267033262	0.0139227088745924	10605	10	Synonymous	64
11	0.977047864361327	0.000308957487020721	-0.020739091491883	0.0213570064659244	10605	5	Synonymous	64
12	0.865421240336388	-0.00274018437003296	-0.0344303395752499	0.028949970835184	10605	2	Synonymous	64
13	0.751831665179019	-0.00707859323955723	-0.0509525399780344	0.03679535349892	10605	1	Synonymous	64
