SampleID	OutlierCount	Direction	Cutoff	Cohort	NumGenes
samp1	329	Over	2	DGNControl	14763
samp2	147	Over	2	DGNControl	14763
samp3	226	Over	2	DGNControl	14763
samp4	374	Over	2	DGNControl	14763
samp5	201	Over	2	DGNControl	14763
samp6	516	Over	2	DGNControl	14763
samp7	243	Over	2	DGNControl	14763
samp8	277	Over	2	DGNControl	14763
samp9	188	Over	2	DGNControl	14763
samp10	154	Over	2	DGNControl	14763
samp11	228	Over	2	DGNControl	14763
samp12	347	Over	2	DGNControl	14763
samp13	419	Over	2	DGNControl	14763
samp14	175	Over	2	DGNControl	14763
samp15	177	Over	2	DGNControl	14763
samp16	195	Over	2	DGNControl	14763
samp17	438	Over	2	DGNControl	14763
samp18	283	Over	2	DGNControl	14763
samp19	295	Over	2	DGNControl	14763
samp20	195	Over	2	DGNControl	14763
samp21	345	Over	2	DGNControl	14763
samp22	210	Over	2	DGNControl	14763
samp23	206	Over	2	DGNControl	14763
samp24	248	Over	2	DGNControl	14763
samp25	278	Over	2	DGNControl	14763
samp26	169	Over	2	DGNControl	14763
samp27	331	Over	2	DGNControl	14763
samp28	281	Over	2	DGNControl	14763
samp29	236	Over	2	DGNControl	14763
samp30	265	Over	2	DGNControl	14763
samp31	355	Over	2	DGNControl	14763
samp32	389	Over	2	DGNControl	14763
samp33	286	Over	2	DGNControl	14763
samp34	293	Over	2	DGNControl	14763
samp35	317	Over	2	DGNControl	14763
samp36	318	Over	2	DGNControl	14763
samp37	250	Over	2	DGNControl	14763
samp38	137	Over	2	DGNControl	14763
samp39	247	Over	2	DGNControl	14763
samp40	202	Over	2	DGNControl	14763
samp41	156	Over	2	DGNControl	14763
samp42	239	Over	2	DGNControl	14763
samp43	263	Over	2	DGNControl	14763
samp44	220	Over	2	DGNControl	14763
samp45	396	Over	2	DGNControl	14763
samp46	493	Over	2	DGNControl	14763
samp47	187	Over	2	DGNControl	14763
samp48	185	Over	2	DGNControl	14763
samp49	252	Over	2	DGNControl	14763
samp50	190	Over	2	DGNControl	14763
samp51	122	Over	2	DGNControl	14763
samp52	325	Over	2	DGNControl	14763
samp53	278	Over	2	DGNControl	14763
samp54	204	Over	2	DGNControl	14763
samp55	368	Over	2	DGNControl	14763
