Figure2C		
FILTER	SAMPLE	PERCENT
EXP_OUTLIER_PLI	samp1	17.10315339
EXP_OUTLIER_ASE	samp1	21.80652058
EXP_OUTLIER_RIVER	samp1	66.38161411
EXP_OUTLIER_HPO	samp1	6.03955104
EXP_OUTLIER_RV	samp1	40.35275254
EXP_OUTLIER_RV_CADD	samp1	5.82576162
EXP_OUTLIER_RV_CADD_HPO	samp1	0.64136825
EXP_OUTLIER_PLI	samp2	13.99521531
EXP_OUTLIER_ASE	samp2	17.10526316
EXP_OUTLIER_RIVER	samp2	62.08133971
EXP_OUTLIER_HPO	samp2	4.3062201
EXP_OUTLIER_RV	samp2	37.67942584
EXP_OUTLIER_RV_CADD	samp2	6.04066986
EXP_OUTLIER_RV_CADD_HPO	samp2	0.29904306
EXP_OUTLIER_PLI	samp3	14.68030691
EXP_OUTLIER_ASE	samp3	15.14066496
EXP_OUTLIER_RIVER	samp3	61.99488491
EXP_OUTLIER_HPO	samp3	8.79795396
EXP_OUTLIER_RV	samp3	39.89769821
EXP_OUTLIER_RV_CADD	samp3	6.80306905
EXP_OUTLIER_RV_CADD_HPO	samp3	0.97186701
EXP_OUTLIER_PLI	samp4	16.47509579
EXP_OUTLIER_ASE	samp4	16.23563218
EXP_OUTLIER_RIVER	samp4	62.88314176
EXP_OUTLIER_HPO	samp4	12.5
EXP_OUTLIER_RV	samp4	41.90613027
EXP_OUTLIER_RV_CADD	samp4	6.99233716
EXP_OUTLIER_RV_CADD_HPO	samp4	1.05363985
EXP_OUTLIER_PLI	samp5	17.14476318
EXP_OUTLIER_ASE	samp5	19.74649767
EXP_OUTLIER_RIVER	samp5	13.34222815
EXP_OUTLIER_HPO	samp5	12.00800534
EXP_OUTLIER_RV	samp5	5.73715811
EXP_OUTLIER_RV_CADD	samp5	1.60106738
EXP_OUTLIER_RV_CADD_HPO	samp5	0.46697799
EXP_OUTLIER_PLI	samp6	16.0899654
EXP_OUTLIER_ASE	samp6	23.24106113
EXP_OUTLIER_RIVER	samp6	64.93656286
EXP_OUTLIER_HPO	samp6	8.47750865
EXP_OUTLIER_RV	samp6	42.38754325
EXP_OUTLIER_RV_CADD	samp6	7.26643599
EXP_OUTLIER_RV_CADD_HPO	samp6	1.44175317
EXP_OUTLIER_PLI	samp7	24.7716895
EXP_OUTLIER_ASE	samp7	11.41552511
EXP_OUTLIER_RIVER	samp7	71.00456621
EXP_OUTLIER_HPO	samp7	16.55251142
EXP_OUTLIER_RV	samp7	54.6803653
EXP_OUTLIER_RV_CADD	samp7	12.78538813
EXP_OUTLIER_RV_CADD_HPO	samp7	2.85388128
EXP_OUTLIER_PLI	samp8	15.97938144
EXP_OUTLIER_ASE	samp8	24.67783505
EXP_OUTLIER_RIVER	samp8	64.17525773
EXP_OUTLIER_HPO	samp8	12.88659794
EXP_OUTLIER_RV	samp8	50.70876289
EXP_OUTLIER_RV_CADD	samp8	12.37113402
EXP_OUTLIER_RV_CADD_HPO	samp8	1.93298969
EXP_OUTLIER_PLI	samp9	16.03773585
EXP_OUTLIER_ASE	samp9	27.59433962
EXP_OUTLIER_RIVER	samp9	50.94339623
EXP_OUTLIER_HPO	samp9	5.18867925
EXP_OUTLIER_RV	samp9	29.71698113
