sample	value	filter
samp1	1568	RV_10KB_CADD
samp1	636	RV_10KB_HPO
samp1	130	RV_10KB_CADD_HPO
samp1	1202	HPO
samp1	1871	EXP_OUTLIER
samp1	320	EXP_OUTLIER_PLI
samp1	408	EXP_OUTLIER_ASE
samp1	1242	EXP_OUTLIER_RIVER
samp1	113	EXP_OUTLIER_HPO
samp1	755	EXP_OUTLIER_RV
samp1	109	EXP_OUTLIER_RV_CADD
samp1	12	EXP_OUTLIER_RV_CADD_HPO
samp2	1543	RV_10KB_CADD
samp2	644	RV_10KB_HPO
samp2	125	RV_10KB_CADD_HPO
samp2	1202	HPO
samp2	1672	EXP_OUTLIER
samp2	234	EXP_OUTLIER_PLI
samp2	286	EXP_OUTLIER_ASE
samp2	1038	EXP_OUTLIER_RIVER
samp2	72	EXP_OUTLIER_HPO
samp2	630	EXP_OUTLIER_RV
samp2	101	EXP_OUTLIER_RV_CADD
samp2	5	EXP_OUTLIER_RV_CADD_HPO
samp3	1632	RV_10KB_CADD
samp3	1143	RV_10KB_HPO
samp3	236	RV_10KB_CADD_HPO
samp3	2051	HPO
samp3	1955	EXP_OUTLIER
samp3	287	EXP_OUTLIER_PLI
samp3	296	EXP_OUTLIER_ASE
samp3	1212	EXP_OUTLIER_RIVER
samp3	172	EXP_OUTLIER_HPO
samp3	780	EXP_OUTLIER_RV
samp3	133	EXP_OUTLIER_RV_CADD
samp3	19	EXP_OUTLIER_RV_CADD_HPO
samp4	1773	RV_10KB_CADD
samp4	1694	RV_10KB_HPO
samp4	359	RV_10KB_CADD_HPO
samp4	3083	HPO
samp4	2088	EXP_OUTLIER
samp4	344	EXP_OUTLIER_PLI
samp4	339	EXP_OUTLIER_ASE
samp4	1313	EXP_OUTLIER_RIVER
samp4	261	EXP_OUTLIER_HPO
samp4	875	EXP_OUTLIER_RV
samp4	146	EXP_OUTLIER_RV_CADD
samp4	22	EXP_OUTLIER_RV_CADD_HPO
samp5	331	RV_10KB_CADD
samp5	222	RV_10KB_HPO
samp5	73	RV_10KB_CADD_HPO
samp5	2795	HPO
samp5	1499	EXP_OUTLIER
samp5	257	EXP_OUTLIER_PLI
samp5	296	EXP_OUTLIER_ASE
samp5	200	EXP_OUTLIER_RIVER
samp5	180	EXP_OUTLIER_HPO
samp5	86	EXP_OUTLIER_RV
samp5	24	EXP_OUTLIER_RV_CADD
samp5	7	EXP_OUTLIER_RV_CADD_HPO
samp6	1727	RV_10KB_CADD
samp6	1038	RV_10KB_HPO
samp6	215	RV_10KB_CADD_HPO
samp6	1847	HPO
samp6	1734	EXP_OUTLIER
samp6	279	EXP_OUTLIER_PLI
samp6	403	EXP_OUTLIER_ASE
samp6	1126	EXP_OUTLIER_RIVER
samp6	147	EXP_OUTLIER_HPO
samp6	735	EXP_OUTLIER_RV
samp6	126	EXP_OUTLIER_RV_CADD
samp6	25	EXP_OUTLIER_RV_CADD_HPO
samp7	2907	RV_10KB_CADD
samp7	1893	RV_10KB_HPO
samp7	523	RV_10KB_CADD_HPO
samp7	3015	HPO
samp7	876	EXP_OUTLIER
samp7	217	EXP_OUTLIER_PLI
samp7	100	EXP_OUTLIER_ASE
samp7	622	EXP_OUTLIER_RIVER
