sample_id	technology	variable	value
samp1	exome	prop_pLI	0.28571429
samp2	exome	prop_pLI	0.33333333
samp3	genome	prop_pLI	0
samp4	genome	prop_pLI	0
samp5	genome	prop_pLI	0.26315789
samp6	genome	prop_pLI	0.26600985
samp7	genome	prop_pLI	0.28506271
samp8	genome	prop_pLI	0.30176302
samp9	genome	prop_pLI	0.3032057
samp10	genome	prop_pLI	0.25560538
samp11	genome	prop_pLI	0.27748691
samp12	genome	prop_pLI	0.26372637
samp13	genome	prop_pLI	0.24576271
samp14	genome	prop_pLI	0.1875
samp15	genome	prop_pLI	0.28156997
samp16	genome	prop_pLI	0.06666667
samp17	genome	prop_pLI	0.26388889
samp18	genome	prop_pLI	0.2866242
samp19	exome	prop_pLI	0.55555556
samp20	exome	prop_pLI	0.2519685
samp21	exome	prop_pLI	0.25
samp22	exome	prop_pLI	0.28985507
samp23	exome	prop_pLI	0.26666667
samp24	genome	prop_pLI	0.28258222
samp25	exome	prop_pLI	0.31164571
samp26	exome	prop_pLI	0.27136752
samp27	exome	prop_pLI	0.23076923
samp28	exome	prop_pLI	0.25531915
samp29	exome	prop_pLI	0.23364486
samp30	exome	prop_pLI	0.26385224
samp31	exome	prop_pLI	0.30701754
samp32	exome	prop_pLI	0.25396825
samp33	exome	prop_pLI	0.31122449
samp34	exome	prop_pLI	0.17346939
samp35	exome	prop_pLI	0.26923077
samp36	genome	prop_pLI	0.31578947
samp37	exome	prop_pLI	0.29044394
samp38	exome	prop_pLI	0.30758988
samp39	genome	prop_pLI	0.30628655
samp40	genome	prop_pLI	0.2837407
samp41	exome	prop_pLI	0.27614379
samp42	exome	prop_pLI	0.31081081
samp43	exome	prop_pLI	0.30597432
samp44	genome	prop_pLI	0.26666667
samp45	genome	prop_pLI	0.26829268
samp46	exome	prop_pLI	0.38461538
samp47	genome	prop_pLI	0.30973451
samp48	genome	prop_pLI	0.31818182
samp49	genome	prop_pLI	0.28
samp50	exome	prop_pLI	0.31818182
samp51	genome	prop_pLI	0.28413284
samp52	exome	prop_pLI	0.27180784
samp53	exome	prop_pLI	0.28151261
samp54	exome	prop_pLI	0.26666667
samp55	exome	prop_pLI	0.31632653
samp56	genome	prop_pLI	0.3452381
samp57	genome	prop_pLI	0.25641026
samp58	exome	prop_pLI	0.27881844
samp59	genome	prop_pLI	0.28319502
samp60	genome	prop_pLI	0.23728814
samp61	exome	prop_pLI	0.3257329
samp62	exome	prop_pLI	0.27051672
samp63	exome	prop_pLI	0.25229358
samp64	exome	prop_pLI	0.24590164
samp65	genome	prop_pLI	0.26242545
samp66	exome	prop_pLI	0.29245283
samp67	exome	prop_pLI	0.27819549
samp68	genome	prop_pLI	0.3290566
samp69	genome	prop_pLI	0.3064
samp70	exome	prop_pLI	0.19784946
samp71	exome	prop_pLI	0.2195122
samp1	exome	prop_HPO	0.14285714
samp2	exome	prop_HPO	0.33333333
samp3	genome	prop_HPO	1
samp4	genome	prop_HPO	0
samp5	genome	prop_HPO	0.12872543
samp6	genome	prop_HPO	0.10180624
samp7	genome	prop_HPO	0.07905739
samp8	genome	prop_HPO	0.19147191
samp9	genome	prop_HPO	0.19189671
samp10	genome	prop_HPO	0.12107623
samp11	genome	prop_HPO	0.10602094
samp12	genome	prop_HPO	0.03420342
samp13	genome	prop_HPO	0.03220339
samp14	genome	prop_HPO	0
samp15	genome	prop_HPO	0.04266212
samp16	genome	prop_HPO	0
samp17	genome	prop_HPO	0.04340278
samp18	genome	prop_HPO	0.13375796
samp19	exome	prop_HPO	0.22222222
samp20	exome	prop_HPO	0.16141732
samp21	exome	prop_HPO	0.3
samp22	exome	prop_HPO	0.20128824
samp23	exome	prop_HPO	0.17777778
samp24	genome	prop_HPO	0.14007308
samp25	exome	prop_HPO	0.18370694
samp26	exome	prop_HPO	0.18162393
samp27	exome	prop_HPO	0.23076923
samp28	exome	prop_HPO	0.18085106
samp29	exome	prop_HPO	0.14953271
samp30	exome	prop_HPO	0.00527704
samp31	exome	prop_HPO	0
samp32	exome	prop_HPO	0.13756614
samp33	exome	prop_HPO	0.08163265
samp34	exome	prop_HPO	0.1122449
samp35	exome	prop_HPO	0.04807692
samp36	genome	prop_HPO	0.20667522
samp37	exome	prop_HPO	0.13920241
samp38	exome	prop_HPO	0.11628939
samp39	genome	prop_HPO	0.07821637
samp40	genome	prop_HPO	0.16896918
