sampleID	variable	value
samp1	outliers	NA
samp2	outliers	NA
samp3	outliers	NA
samp4	outliers	NA
samp5	outliers	NA
samp6	outliers	NA
samp7	outliers	NA
samp8	outliers	NA
samp9	outliers	NA
samp10	outliers	NA
samp11	outliers	1
samp12	outliers	1
samp13	outliers	1
samp14	outliers	NA
samp15	outliers	NA
samp16	outliers	1
samp17	outliers	1
samp18	outliers	1
samp19	outliers	1
samp20	outliers	1
samp21	outliers	1
samp22	outliers	NA
samp23	outliers	1
samp24	outliers	1
samp25	outliers	1
samp26	outliers	2
samp27	outliers	NA
samp28	outliers	NA
samp29	outliers	NA
samp30	outliers	1
samp31	outliers	2
samp32	outliers	1
samp33	outliers	1
samp34	outliers	NA
samp35	outliers	NA
samp36	outliers	2
samp37	outliers	1
samp38	outliers	NA
samp39	outliers	NA
samp40	outliers	1
samp41	outliers	NA
samp42	outliers	1
samp43	outliers	NA
samp44	outliers	NA
samp45	outliers	1
samp46	outliers	NA
samp47	outliers	1
samp48	outliers	1
samp49	outliers	1
samp50	outliers	NA
samp51	outliers	1
samp52	outliers	NA
samp53	outliers	1
samp54	outliers	1
samp55	outliers	1
samp56	outliers	NA
samp57	outliers	NA
samp58	outliers	NA
samp59	outliers	1
samp60	outliers	1
samp61	outliers	NA
samp62	outliers	NA
samp63	outliers	2
samp64	outliers	2
samp65	outliers	NA
samp66	outliers	NA
samp67	outliers	NA
samp68	outliers	1
samp69	outliers	1
samp70	outliers	NA
samp71	outliers	NA
samp72	outliers	NA
samp73	outliers	1
samp74	outliers	NA
samp75	outliers	1
samp76	outliers	1
samp77	outliers	1
samp78	outliers	1
samp79	outliers	2
samp80	outliers	1
samp81	outliers	NA
samp82	outliers	NA
samp83	outliers	1
samp84	outliers	1
samp85	outliers	1
samp86	outliers	1
samp87	outliers	1
samp88	outliers	1
samp89	outliers	NA
samp90	outliers	NA
samp91	outliers	2
samp92	outliers	2
samp93	outliers	NA
samp94	outliers	NA
samp95	outliers	1
samp96	outliers	2
samp97	outliers	2
samp98	outliers	1
samp99	outliers	1
samp100	outliers	1
samp101	outliers	1
samp102	outliers	1
samp103	outliers	NA
samp104	outliers	1
samp105	outliers	1
samp106	outliers	2
samp107	outliers	2
samp108	outliers	1
samp109	outliers	1
samp1	outlier_RV_CADD_HPO_junc	NA
samp2	outlier_RV_CADD_HPO_junc	NA
samp3	outlier_RV_CADD_HPO_junc	NA
samp4	outlier_RV_CADD_HPO_junc	NA
samp5	outlier_RV_CADD_HPO_junc	NA
samp6	outlier_RV_CADD_HPO_junc	NA
samp7	outlier_RV_CADD_HPO_junc	NA
samp8	outlier_RV_CADD_HPO_junc	NA
samp9	outlier_RV_CADD_HPO_junc	NA
samp10	outlier_RV_CADD_HPO_junc	NA
samp11	outlier_RV_CADD_HPO_junc	1.5
samp12	outlier_RV_CADD_HPO_junc	1
samp13	outlier_RV_CADD_HPO_junc	1
samp14	outlier_RV_CADD_HPO_junc	NA
samp15	outlier_RV_CADD_HPO_junc	NA
samp16	outlier_RV_CADD_HPO_junc	1
samp17	outlier_RV_CADD_HPO_junc	1
samp18	outlier_RV_CADD_HPO_junc	2
samp19	outlier_RV_CADD_HPO_junc	4
samp20	outlier_RV_CADD_HPO_junc	NA
samp21	outlier_RV_CADD_HPO_junc	NA
samp22	outlier_RV_CADD_HPO_junc	NA
samp23	outlier_RV_CADD_HPO_junc	NA
samp24	outlier_RV_CADD_HPO_junc	NA
samp25	outlier_RV_CADD_HPO_junc	NA
samp26	outlier_RV_CADD_HPO_junc	NA
samp27	outlier_RV_CADD_HPO_junc	NA
samp28	outlier_RV_CADD_HPO_junc	NA
samp29	outlier_RV_CADD_HPO_junc	NA
samp30	outlier_RV_CADD_HPO_junc	NA
samp31	outlier_RV_CADD_HPO_junc	NA
samp32	outlier_RV_CADD_HPO_junc	2
samp33	outlier_RV_CADD_HPO_junc	1
samp34	outlier_RV_CADD_HPO_junc	NA
samp35	outlier_RV_CADD_HPO_junc	NA
samp36	outlier_RV_CADD_HPO_junc	4
samp37	outlier_RV_CADD_HPO_junc	NA
samp38	outlier_RV_CADD_HPO_junc	NA
samp39	outlier_RV_CADD_HPO_junc	NA
samp40	outlier_RV_CADD_HPO_junc	NA
samp41	outlier_RV_CADD_HPO_junc	NA
samp42	outlier_RV_CADD_HPO_junc	NA
samp43	outlier_RV_CADD_HPO_junc	NA
samp44	outlier_RV_CADD_HPO_junc	NA
samp45	outlier_RV_CADD_HPO_junc	NA
samp46	outlier_RV_CADD_HPO_junc	NA
samp47	outlier_RV_CADD_HPO_junc	NA
samp48	outlier_RV_CADD_HPO_junc	NA
samp49	outlier_RV_CADD_HPO_junc	NA
samp50	outlier_RV_CADD_HPO_junc	NA
samp51	outlier_RV_CADD_HPO_junc	NA
samp52	outlier_RV_CADD_HPO_junc	NA
samp53	outlier_RV_CADD_HPO_junc	NA
samp54	outlier_RV_CADD_HPO_junc	NA
samp55	outlier_RV_CADD_HPO_junc	2
samp56	outlier_RV_CADD_HPO_junc	NA
samp57	outlier_RV_CADD_HPO_junc	NA
samp58	outlier_RV_CADD_HPO_junc	NA
samp59	outlier_RV_CADD_HPO_junc	NA
samp60	outlier_RV_CADD_HPO_junc	NA
samp61	outlier_RV_CADD_HPO_junc	NA
samp62	outlier_RV_CADD_HPO_junc	NA
samp63	outlier_RV_CADD_HPO_junc	1.5
samp64	outlier_RV_CADD_HPO_junc	1
samp65	outlier_RV_CADD_HPO_junc	NA
samp66	outlier_RV_CADD_HPO_junc	NA
samp67	outlier_RV_CADD_HPO_junc	NA
samp68	outlier_RV_CADD_HPO_junc	NA
samp69	outlier_RV_CADD_HPO_junc	NA
samp70	outlier_RV_CADD_HPO_junc	NA
samp71	outlier_RV_CADD_HPO_junc	NA
samp72	outlier_RV_CADD_HPO_junc	NA
samp73	outlier_RV_CADD_HPO_junc	NA
samp74	outlier_RV_CADD_HPO_junc	NA
samp75	outlier_RV_CADD_HPO_junc	NA
samp76	outlier_RV_CADD_HPO_junc	NA
samp77	outlier_RV_CADD_HPO_junc	1
samp78	outlier_RV_CADD_HPO_junc	NA
samp79	outlier_RV_CADD_HPO_junc	NA
samp80	outlier_RV_CADD_HPO_junc	NA
samp81	outlier_RV_CADD_HPO_junc	NA
samp82	outlier_RV_CADD_HPO_junc	NA
samp83	outlier_RV_CADD_HPO_junc	NA
samp84	outlier_RV_CADD_HPO_junc	2
samp85	outlier_RV_CADD_HPO_junc	NA
samp86	outlier_RV_CADD_HPO_junc	NA
samp87	outlier_RV_CADD_HPO_junc	NA
samp88	outlier_RV_CADD_HPO_junc	NA
samp89	outlier_RV_CADD_HPO_junc	NA
samp90	outlier_RV_CADD_HPO_junc	NA
samp91	outlier_RV_CADD_HPO_junc	4
samp92	outlier_RV_CADD_HPO_junc	NA
samp93	outlier_RV_CADD_HPO_junc	NA
samp94	outlier_RV_CADD_HPO_junc	NA
samp95	outlier_RV_CADD_HPO_junc	NA
samp96	outlier_RV_CADD_HPO_junc	3
samp97	outlier_RV_CADD_HPO_junc	9
samp98	outlier_RV_CADD_HPO_junc	NA
samp99	outlier_RV_CADD_HPO_junc	1
samp100	outlier_RV_CADD_HPO_junc	NA
samp101	outlier_RV_CADD_HPO_junc	1
samp102	outlier_RV_CADD_HPO_junc	2
samp103	outlier_RV_CADD_HPO_junc	NA
samp104	outlier_RV_CADD_HPO_junc	NA
samp105	outlier_RV_CADD_HPO_junc	NA
samp106	outlier_RV_CADD_HPO_junc	5
samp107	outlier_RV_CADD_HPO_junc	11
samp108	outlier_RV_CADD_HPO_junc	1
samp109	outlier_RV_CADD_HPO_junc	NA
