Filter	number of genes	SAMPLE
RV	9193	samp1
RV	9170	samp2
RV	9428	samp3
RV	9609	samp4
RV	1135	samp5
RV	9721	samp6
RV	11577	samp7
RV	12010	samp8
RV	7063	samp9
RV	7083	samp10
RV	4780	samp11
RV	4939	samp12
RV	4811	samp13
RV	6378	samp14
RV	9930	samp15
RV	5977	samp16
RV	6205	samp17
RV	3761	samp18
RV	5481	samp19
RV	3108	samp20
RV	8043	samp21
RV	11185	samp22
RV	1120	samp23
RV	1465	samp24
RV	683	samp25
RV	1034	samp26
RV	1704	samp27
RV	8537	samp28
RV	824	samp29
RV	774	samp30
RV	869	samp31
RV	1065	samp32
RV	262	samp33
RV	411	samp34
RV	337	samp35
RV	220	samp36
RV	394	samp37
RV	285	samp38
RV	178	samp39
RV	7369	samp40
RV	316	samp41
RV	279	samp42
RV	9997	samp43
RV	12859	samp44
RV	183	samp45
RV	1042	samp46
RV	239	samp47
RV	10006	samp48
RV	9909	samp49
RV	632	samp50
RV	9130	samp51
RV	12928	samp52
RV	7480	samp53
RV	735	samp54
RV	9753	samp55
RV	701	samp56
RV	1155	samp57
RV	636	samp58
RV	1026	samp59
RV	12093	samp60
RV	9815	samp61
RV	731	samp62
RV	10593	samp63
RV	12736	samp64
RV	1167	samp65
RV	1159	samp66
RV	835	samp67
RV	1012	samp68
RV	9621	samp69
RV	993	samp70
RV	797	samp71
RV	11635	samp72
RV	10407	samp73
RV	13501	samp74
RV	1403	samp75
RV_CADD	1480	samp1
RV_CADD	1452	samp2
RV_CADD	1477	samp3
RV_CADD	1685	samp4
RV_CADD	288	samp5
RV_CADD	1637	samp6
RV_CADD	2722	samp7
RV_CADD	2807	samp8
RV_CADD	1283	samp9
RV_CADD	1259	samp10
RV_CADD	825	samp11
RV_CADD	815	samp12
RV_CADD	764	samp13
RV_CADD	1122	samp14
RV_CADD	1494	samp15
RV_CADD	955	samp16
RV_CADD	1089	samp17
RV_CADD	584	samp18
RV_CADD	876	samp19
RV_CADD	484	samp20
RV_CADD	1666	samp21
RV_CADD	2378	samp22
RV_CADD	439	samp23
RV_CADD	549	samp24
RV_CADD	275	samp25
RV_CADD	429	samp26
RV_CADD	643	samp27
RV_CADD	1547	samp28
RV_CADD	326	samp29
RV_CADD	302	samp30
RV_CADD	392	samp31
RV_CADD	416	samp32
RV_CADD	115	samp33
RV_CADD	152	samp34
RV_CADD	138	samp35
RV_CADD	91	samp36
RV_CADD	169	samp37
RV_CADD	101	samp38
RV_CADD	71	samp39
RV_CADD	807	samp40
RV_CADD	87	samp41
RV_CADD	62	samp42
RV_CADD	1807	samp43
RV_CADD	3332	samp44
RV_CADD	48	samp45
RV_CADD	416	samp46
RV_CADD	78	samp47
RV_CADD	1567	samp48
RV_CADD	1653	samp49
RV_CADD	247	samp50
RV_CADD	1406	samp51
