gene	covered	annotated	percent_covered
ENSG00000000419	8	8	1
ENSG00000000457	11	13	0.846153846153846
ENSG00000000460	8	24	0.333333333333333
ENSG00000000938	13	13	1
ENSG00000001036	2	3	0.666666666666667
ENSG00000001084	5	5	1
ENSG00000001167	7	7	1
ENSG00000001460	1	9	0.111111111111111
ENSG00000001461	11	12	0.916666666666667
ENSG00000001497	14	14	1
ENSG00000001630	3	8	0.375
ENSG00000001631	15	20	0.75
ENSG00000002016	5	11	0.454545454545455
ENSG00000002330	3	3	1
ENSG00000002549	12	12	1
ENSG00000002726	3	6	0.5
ENSG00000002822	17	17	1
ENSG00000002834	6	6	1
ENSG00000002919	10	10	1
ENSG00000002933	5	5	1
ENSG00000003147	6	14	0.428571428571429
ENSG00000003249	2	2	1
ENSG00000003393	7	26	0.269230769230769
ENSG00000003400	9	12	0.75
ENSG00000003402	11	11	1
ENSG00000003509	6	7	0.857142857142857
ENSG00000003756	8	8	1
ENSG00000004059	1	1	1
ENSG00000004139	6	6	1
ENSG00000004142	10	10	1
ENSG00000004399	34	34	1
ENSG00000004455	4	7	0.571428571428571
ENSG00000004487	18	18	1
ENSG00000004534	19	20	0.95
ENSG00000004660	15	17	0.882352941176471
ENSG00000004700	14	14	1
ENSG00000004766	27	28	0.964285714285714
ENSG00000004777	15	20	0.75
ENSG00000004779	3	3	1
ENSG00000004838	2	9	0.222222222222222
ENSG00000004864	13	17	0.764705882352941
ENSG00000004866	14	19	0.736842105263158
ENSG00000004897	16	18	0.888888888888889
ENSG00000004939	2	2	1
ENSG00000004961	5	5	1
ENSG00000004975	14	14	1
ENSG00000005007	22	22	1
ENSG00000005020	11	11	1
ENSG00000005022	2	2	1
ENSG00000005059	2	2	1
ENSG00000005102	1	3	0.333333333333333
ENSG00000005156	18	18	1
ENSG00000005175	16	16	1
ENSG00000005187	9	13	0.692307692307692
ENSG00000005194	7	9	0.777777777777778
ENSG00000005238	9	9	1
ENSG00000005243	7	8	0.875
ENSG00000005249	3	3	1
ENSG00000005302	12	12	1
ENSG00000005339	28	28	1
ENSG00000005379	23	31	0.741935483870968
ENSG00000005381	6	10	0.6
ENSG00000005436	16	16	1
ENSG00000005448	6	7	0.857142857142857
ENSG00000005469	10	17	0.588235294117647
ENSG00000005471	3	28	0.107142857142857
ENSG00000005483	24	26	0.923076923076923
ENSG00000005486	3	3	1
ENSG00000005700	21	27	0.777777777777778
ENSG00000005801	4	7	0.571428571428571
ENSG00000005810	30	85	0.352941176470588
ENSG00000005812	1	1	1
ENSG00000005844	27	27	1
ENSG00000005882	9	10	0.9
ENSG00000005884	3	23	0.130434782608696
ENSG00000005889	2	9	0.222222222222222
ENSG00000005893	8	9	0.888888888888889
ENSG00000005955	1	1	1
ENSG00000005961	27	27	1
ENSG00000006015	3	3	1
ENSG00000006025	22	22	1
ENSG00000006114	23	24	0.958333333333333
ENSG00000006125	21	22	0.954545454545455
ENSG00000006194	1	1	1
ENSG00000006282	15	15	1
ENSG00000006327	2	2	1
ENSG00000006451	1	1	1
ENSG00000006459	13	16	0.8125
ENSG00000006530	14	15	0.933333333333333
ENSG00000006534	10	12	0.833333333333333
ENSG00000006555	4	4	1
ENSG00000006576	13	19	0.684210526315789
ENSG00000006625	3	3	1
ENSG00000006638	2	2	1
ENSG00000006652	11	11	1
ENSG00000006695	5	5	1
ENSG00000006712	10	12	0.833333333333333
ENSG00000006715	26	26	1
ENSG00000006744	23	23	1
ENSG00000006756	4	5	0.8
ENSG00000006757	5	5	1
ENSG00000006831	1	1	1
ENSG00000007038	5	5	1
ENSG00000007047	15	15	1
ENSG00000007080	3	3	1
ENSG00000007129	8	8	1
ENSG00000007168	4	4	1
ENSG00000007202	37	38	0.973684210526316
ENSG00000007237	14	16	0.875
ENSG00000007255	4	4	1
ENSG00000007264	13	14	0.928571428571429
ENSG00000007312	5	5	1
ENSG00000007341	6	15	0.4
ENSG00000007350	10	12	0.833333333333333
ENSG00000007376	5	5	1
ENSG00000007392	8	8	1
ENSG00000007402	8	42	0.19047619047619
ENSG00000007516	33	35	0.942857142857143
ENSG00000007541	10	10	1
ENSG00000007545	11	19	0.578947368421053
ENSG00000007923	15	15	1
ENSG00000007944	4	4	1
ENSG00000007968	1	1	1
ENSG00000008018	4	4	1
ENSG00000008083	16	16	1
ENSG00000008128	10	21	0.476190476190476
ENSG00000008130	11	15	0.733333333333333
ENSG00000008226	11	36	0.305555555555556
ENSG00000008256	6	6	1
ENSG00000008282	4	4	1
ENSG00000008283	5	6	0.833333333333333
ENSG00000008294	28	28	1
ENSG00000008324	2	2	1
ENSG00000008382	12	12	1
ENSG00000008394	3	4	0.75
ENSG00000008441	5	13	0.384615384615385
ENSG00000008513	9	9	1
ENSG00000008516	2	2	1
ENSG00000008517	12	14	0.857142857142857
ENSG00000008710	24	44	0.545454545454545
ENSG00000008838	25	27	0.925925925925926
ENSG00000008853	8	8	1
ENSG00000008869	28	33	0.848484848484849
ENSG00000008952	7	7	1
ENSG00000008988	5	5	1
ENSG00000009307	21	23	0.91304347826087
ENSG00000009335	6	6	1
ENSG00000009413	16	32	0.5
ENSG00000009780	6	11	0.545454545454545
ENSG00000009790	18	18	1
ENSG00000009844	5	6	0.833333333333333
ENSG00000009954	18	18	1
ENSG00000010017	11	11	1
ENSG00000010030	7	7	1
ENSG00000010072	4	4	1
ENSG00000010165	7	7	1
ENSG00000010219	4	11	0.363636363636364
ENSG00000010244	11	11	1
ENSG00000010270	8	8	1
ENSG00000010278	7	7	1
ENSG00000010292	29	29	1
ENSG00000010295	11	12	0.916666666666667
ENSG00000010318	4	8	0.5
ENSG00000010322	20	20	1
ENSG00000010361	10	11	0.909090909090909
ENSG00000010404	8	9	0.888888888888889
ENSG00000010539	5	7	0.714285714285714
ENSG00000010610	3	3	1
ENSG00000010626	6	9	0.666666666666667
ENSG00000010671	14	14	1
ENSG00000010704	1	7	0.142857142857143
ENSG00000010803	14	21	0.666666666666667
ENSG00000010810	16	16	1
ENSG00000010818	5	8	0.625
ENSG00000011007	10	10	1
ENSG00000011009	7	10	0.7
ENSG00000011021	15	23	0.652173913043478
ENSG00000011028	8	8	1
ENSG00000011052	7	7	1
ENSG00000011105	3	6	0.5
ENSG00000011143	17	17	1
ENSG00000011198	1	1	1
ENSG00000011243	12	12	1
ENSG00000011258	2	16	0.125
ENSG00000011275	15	15	1
ENSG00000011295	9	9	1
ENSG00000011304	13	13	1
ENSG00000011376	17	20	0.85
ENSG00000011405	4	30	0.133333333333333
ENSG00000011422	6	6	1
ENSG00000011451	8	9	0.888888888888889
ENSG00000011454	12	13	0.923076923076923
ENSG00000011478	4	4	1
ENSG00000011485	10	10	1
ENSG00000011523	5	6	0.833333333333333
ENSG00000011590	3	6	0.5
ENSG00000011600	6	6	1
ENSG00000011638	5	5	1
ENSG00000012048	8	26	0.307692307692308
ENSG00000012061	9	9	1
ENSG00000012124	13	14	0.928571428571429
ENSG00000012211	8	10	0.8
ENSG00000012223	16	16	1
ENSG00000012232	6	6	1
ENSG00000012660	7	7	1
ENSG00000012779	11	11	1
ENSG00000012817	21	26	0.807692307692308
ENSG00000012822	14	14	1
ENSG00000012963	8	8	1
ENSG00000012983	3	3	1
ENSG00000013016	2	2	1
ENSG00000013275	9	9	1
ENSG00000013288	17	17	1
ENSG00000013306	11	11	1
ENSG00000013364	14	14	1
ENSG00000013374	15	15	1
ENSG00000013375	5	12	0.416666666666667
ENSG00000013441	11	11	1
ENSG00000013503	12	26	0.461538461538462
ENSG00000013523	4	4	1
ENSG00000013561	9	10	0.9
ENSG00000013563	6	6	1
ENSG00000013573	16	27	0.592592592592593
ENSG00000013583	2	2	1
ENSG00000013725	13	13	1
ENSG00000014138	15	15	1
ENSG00000014216	21	21	1
ENSG00000014257	9	9	1
ENSG00000014641	7	8	0.875
ENSG00000014914	4	17	0.235294117647059
ENSG00000014919	8	8	1
ENSG00000015133	7	7	1
ENSG00000015153	2	3	0.666666666666667
ENSG00000015171	13	20	0.65
ENSG00000015285	7	7	1
ENSG00000015475	6	6	1
ENSG00000015479	14	20	0.7
ENSG00000015532	8	8	1
ENSG00000015676	2	2	1
ENSG00000016864	9	9	1
ENSG00000017260	28	31	0.903225806451613
ENSG00000017483	15	15	1
ENSG00000017797	8	8	1
ENSG00000018189	16	19	0.842105263157895
ENSG00000018280	15	15	1
ENSG00000018510	3	3	1
ENSG00000018610	5	6	0.833333333333333
ENSG00000019169	15	15	1
ENSG00000019582	6	6	1
ENSG00000019991	3	19	0.157894736842105
ENSG00000019995	2	2	1
ENSG00000020129	7	7	1
ENSG00000020256	5	9	0.555555555555556
ENSG00000020426	5	5	1
ENSG00000020577	2	11	0.181818181818182
ENSG00000020633	4	5	0.8
ENSG00000020922	18	20	0.9
ENSG00000021300	6	9	0.666666666666667
ENSG00000021355	6	6	1
ENSG00000021574	14	14	1
ENSG00000021762	20	21	0.952380952380952
ENSG00000022267	6	9	0.666666666666667
ENSG00000022277	9	10	0.9
ENSG00000022556	8	15	0.533333333333333
ENSG00000022567	7	8	0.875
ENSG00000022840	15	15	1
ENSG00000022976	6	7	0.857142857142857
ENSG00000023041	9	9	1
ENSG00000023171	12	19	0.631578947368421
ENSG00000023191	10	10	1
ENSG00000023228	18	19	0.947368421052632
ENSG00000023287	19	23	0.826086956521739
ENSG00000023330	10	10	1
ENSG00000023445	8	8	1
ENSG00000023572	2	2	1
ENSG00000023697	8	8	1
ENSG00000023734	8	8	1
ENSG00000023892	7	7	1
ENSG00000023902	5	6	0.833333333333333
ENSG00000023909	4	4	1
ENSG00000024048	46	46	1
ENSG00000025039	5	5	1
ENSG00000025156	10	10	1
ENSG00000025293	17	17	1
ENSG00000025434	8	11	0.727272727272727
ENSG00000025708	9	9	1
ENSG00000025770	19	19	1
ENSG00000025800	12	13	0.923076923076923
ENSG00000026025	8	8	1
ENSG00000026103	8	8	1
ENSG00000026297	8	8	1
ENSG00000026508	11	18	0.611111111111111
ENSG00000026652	8	8	1
ENSG00000026751	7	7	1
ENSG00000026950	9	9	1
ENSG00000027001	1	1	1
ENSG00000027075	12	12	1
ENSG00000027697	6	6	1
ENSG00000027869	8	8	1
ENSG00000028116	12	16	0.75
ENSG00000028137	9	9	1
ENSG00000028203	11	12	0.916666666666667
ENSG00000028277	16	16	1
ENSG00000028310	13	15	0.866666666666667
ENSG00000028528	14	14	1
ENSG00000028839	5	5	1
ENSG00000029363	14	15	0.933333333333333
ENSG00000029364	6	6	1
ENSG00000029534	40	46	0.869565217391304
ENSG00000029639	1	1	1
