Var1	Var2	value
1	age	0.215070643147189
2	age	-0.427088220899018
3	age	-0.17478409847157
4	age	-0.0447753862204863
5	age	-0.0693227858407403
6	age	0.124675119884837
7	age	0.086489015150098
8	age	-0.0134596777177312
9	age	-0.0737577225153023
10	age	0.0523564772805998
11	age	0.0217909255750688
12	age	-0.026090874059912
13	age	-0.0921449660891169
14	age	0.0326870791381286
15	age	0.0168058108511365
16	age	-0.0501205629798376
17	age	0.0849050845708731
18	age	-0.0678735934724218
19	age	0.0395247529285231
20	age	-0.0924310499301547
21	age	-0.0986950927240785
1	sex	0.0897183472259506
2	sex	-0.0829677908128187
3	sex	-0.00863968871953254
4	sex	-0.046379416574512
5	sex	-0.0819413748081336
6	sex	0.120116830246579
7	sex	0.0575557777249196
8	sex	-0.0463603838073383
9	sex	0.0131903078575922
10	sex	-0.0761183954037478
11	sex	0.0266786141403324
12	sex	0.00941781275622081
13	sex	-0.0856730224696782
14	sex	0.0172253297332613
15	sex	-0.103757029556535
16	sex	0.0421659772088844
17	sex	0.0921718081061699
18	sex	-0.0177516333970222
19	sex	0.0136970401161256
20	sex	-0.0113793335193718
21	sex	0.045469516855134
1	affected	0.215439340942495
2	affected	-0.654676400232995
3	affected	-0.334477434230733
4	affected	-0.10240871036917
5	affected	-0.11722722500225
6	affected	0.0157230052636481
7	affected	0.0341366774336229
8	affected	-0.0227999682728325
9	affected	-0.0576731584394632
10	affected	0.0978620260209942
11	affected	0.062746805496054
12	affected	-0.0301640371407137
13	affected	-0.0787541381805685
14	affected	0.0609384632393451
15	affected	-0.0132531232674768
16	affected	-0.0649159291323718
17	affected	0.0229473183617616
18	affected	-0.100798048005337
19	affected	0.096483350575472
20	affected	-0.0147299223095147
21	affected	-0.0490696920093687
1	sequencer	-0.314434683297155
2	sequencer	0.779173427646943
3	sequencer	0.463020160736242
4	sequencer	0.196708815938744
5	sequencer	0.0986111681260887
6	sequencer	0.0503438479105041
7	sequencer	-0.148922404676954
8	sequencer	0.0197905515664349
9	sequencer	0.0449812022609412
10	sequencer	-0.0862208066680382
11	sequencer	-0.0459921224727457
12	sequencer	0.00736037359526771
13	sequencer	0.00922324472470919
14	sequencer	-0.0132315325404193
15	sequencer	0.00450153658793232
16	sequencer	-0.00151143811327355
17	sequencer	-0.0188068205402275
18	sequencer	-0.00428221396113557
19	sequencer	-0.0184240779274313
20	sequencer	0.0143936384301154
21	sequencer	0.0524462826655661
1	read type	0.314434683297155
2	read type	-0.779173427646943
3	read type	-0.463020160736242
4	read type	-0.196708815938744
5	read type	-0.0986111681260887
6	read type	-0.0503438479105041
7	read type	0.148922404676954
8	read type	-0.0197905515664349
9	read type	-0.0449812022609412
10	read type	0.0862208066680382
11	read type	0.0459921224727457
12	read type	-0.00736037359526771
13	read type	-0.00922324472470919
14	read type	0.0132315325404193
15	read type	-0.00450153658793232
16	read type	0.00151143811327355
17	read type	0.0188068205402275
18	read type	0.00428221396113557
19	read type	0.0184240779274313
20	read type	-0.0143936384301154
21	read type	-0.0524462826655661
1	2	-0.036620865673364
2	2	0.259431486614642
3	2	0.101749120724161
4	2	-0.0245086183444178
5	2	0.198710400423936
6	2	0.013497998326227
7	2	0.0528104740895632
8	2	0.0702210807135922
9	2	0.0780626074771792
10	2	-0.0566615885467478
11	2	-0.183250673979155
12	2	-0.0673140820802209
13	2	0.0121881268033388
14	2	-0.072831502027546
15	2	0.0151561522279753
16	2	-0.0372859091064562
17	2	-0.209119550525773
18	2	0.210899354012111
19	2	-0.0977067542397788
20	2	0.0990666217224287
21	2	0.120762288878189
1	3	-0.0486084650173037
2	3	0.146371177259104
3	3	0.302737014925368
4	3	0.132697687676172
5	3	-0.00621696756211656
6	3	0.00538055045496815
7	3	0.302190759299556
8	3	-0.00349709999584932
9	3	0.0572871278489359
10	3	-0.0469604352170276
11	3	0.110397370355292
12	3	-0.00228818412200553
