sample_id	name	exp	batch	residuals	cohort	sv
samp1	ENSG00000006194.6	-1.513225672	1	-1.513225672	NoModel	0.144122577
samp2	ENSG00000006194.6	1.065379341	1	1.065379341	NoModel	0.124965563
samp3	ENSG00000006194.6	0.799303667	1	0.799303667	NoModel	0.112310154
samp4	ENSG00000006194.6	-0.120385617	1	-0.120385617	NoModel	0.124914648
samp5	ENSG00000006194.6	-2.517677196	1	-2.517677196	NoModel	0.129487837
samp6	ENSG00000006194.6	-1.109544447	1	-1.109544447	NoModel	0.122497645
samp7	ENSG00000006194.6	-0.116245811	1	-0.116245811	NoModel	0.121311255
samp8	ENSG00000006194.6	-7.870768024	1	-7.870768024	NoModel	0.170703983
samp9	ENSG00000006194.6	0.267980272	1	0.267980272	NoModel	0.11207217
samp10	ENSG00000006194.6	0.214980927	2	0.214980927	NoModel	0.03903961
samp11	ENSG00000006194.6	0.509756762	2	0.509756762	NoModel	0.03461245
samp12	ENSG00000006194.6	0.651913688	2	0.651913688	NoModel	0.036352761
samp13	ENSG00000006194.6	0.692794876	2	0.692794876	NoModel	0.034621249
samp14	ENSG00000006194.6	-0.17634045	2	-0.17634045	NoModel	0.031447499
samp15	ENSG00000006194.6	0.786566141	2	0.786566141	NoModel	0.035914124
samp16	ENSG00000006194.6	0.319453115	2	0.319453115	NoModel	0.053406878
samp17	ENSG00000006194.6	0.050949994	2	0.050949994	NoModel	0.028055109
samp18	ENSG00000006194.6	0.722818104	2	0.722818104	NoModel	0.040720725
samp19	ENSG00000006194.6	1.689913879	2	1.689913879	NoModel	0.069778397
samp20	ENSG00000006194.6	-0.612645437	2	-0.612645437	NoModel	0.104053418
samp21	ENSG00000006194.6	-2.256770321	2	-2.256770321	NoModel	0.099557785
samp22	ENSG00000006194.6	-0.880456728	2	-0.880456728	NoModel	0.094021549
samp23	ENSG00000006194.6	-0.659739351	2	-0.659739351	NoModel	0.097993767
samp24	ENSG00000006194.6	-0.998975172	2	-0.998975172	NoModel	0.093034543
samp25	ENSG00000006194.6	-0.852726924	2	-0.852726924	NoModel	0.098876459
samp26	ENSG00000006194.6	-0.854773408	2	-0.854773408	NoModel	0.097995103
samp27	ENSG00000006194.6	-0.780847177	2	-0.780847177	NoModel	0.100690547
samp28	ENSG00000006194.6	-1.416835247	2	-1.416835247	NoModel	0.08960289
samp29	ENSG00000006194.6	-0.340987386	2	-0.340987386	NoModel	0.105298891
samp30	ENSG00000006194.6	0.01129573	3	0.01129573	NoModel	0.013920823
samp31	ENSG00000006194.6	0.451223646	3	0.451223646	NoModel	0.015763929
samp32	ENSG00000006194.6	0.007305287	3	0.007305287	NoModel	0.011971351
samp33	ENSG00000006194.6	0.625949334	3	0.625949334	NoModel	0.013523033
samp34	ENSG00000006194.6	0.40168097	3	0.40168097	NoModel	0.010179362
samp35	ENSG00000006194.6	0.63062392	3	0.63062392	NoModel	0.043858956
samp36	ENSG00000006194.6	0.923560274	3	0.923560274	NoModel	0.04297595
samp37	ENSG00000006194.6	1.665230885	3	1.665230885	NoModel	0.041863731
samp38	ENSG00000006194.6	1.811239076	3	1.811239076	NoModel	0.050018671
samp39	ENSG00000006194.6	1.474295153	3	1.474295153	NoModel	0.055650122
samp40	ENSG00000006194.6	1.47847998	3	1.47847998	NoModel	0.055336122
samp41	ENSG00000006194.6	0.707186197	3	0.707186197	NoModel	0.053660787
samp42	ENSG00000006194.6	1.045893593	3	1.045893593	NoModel	0.056141882
samp43	ENSG00000006194.6	1.444331399	3	1.444331399	NoModel	0.058358712
samp44	ENSG00000006194.6	0.01129573	4	0.01129573	NoModel	0.076286409
samp45	ENSG00000006194.6	0.157338397	4	0.157338397	NoModel	0.065511992
samp46	ENSG00000006194.6	0.439256672	4	0.439256672	NoModel	0.049033739
samp47	ENSG00000006194.6	0.333293673	4	0.333293673	NoModel	0.064404774
samp48	ENSG00000006194.6	0.515280234	4	0.515280234	NoModel	0.066440155
samp49	ENSG00000006194.6	0.539342667	4	0.539342667	NoModel	0.06335636
samp50	ENSG00000006194.6	-0.167931529	4	-0.167931529	NoModel	0.065542122
samp51	ENSG00000006194.6	0.316532272	4	0.316532272	NoModel	0.090888114
samp52	ENSG00000006194.6	0.925399888	4	0.925399888	NoModel	0.072731868
samp53	ENSG00000006194.6	0.423000145	4	0.423000145	NoModel	0.07000169
samp54	ENSG00000006194.6	0.463849773	4	0.463849773	NoModel	0.070703262
samp55	ENSG00000006194.6	0.586973074	5	0.586973074	NoModel	0.055259378
samp56	ENSG00000006194.6	1.239361244	5	1.239361244	NoModel	0.02166028
samp57	ENSG00000006194.6	0.024829044	5	0.024829044	NoModel	0.050093375
samp58	ENSG00000006194.6	0.831574468	5	0.831574468	NoModel	0.032851357
samp59	ENSG00000006194.6	0.798032015	5	0.798032015	NoModel	0.033169777
samp60	ENSG00000006194.6	2.014648632	5	2.014648632	NoModel	0.054964003
samp61	ENSG00000006194.6	1.094112515	5	1.094112515	NoModel	0.014853685
samp62	ENSG00000006194.6	1.6746311	5	1.6746311	NoModel	0.027937246
samp63	ENSG00000006194.6	1.951355605	5	1.951355605	NoModel	0.051312015
samp64	ENSG00000006194.6	1.061255127	5	1.061255127	NoModel	0.015504295
samp65	ENSG00000006194.6	1.82877055	5	1.82877055	NoModel	0.035997263
samp66	ENSG00000006194.6	1.117393196	5	1.117393196	NoModel	0.039429156
samp67	ENSG00000006194.6	0.650586895	5	0.650586895	NoModel	0.037937396
samp68	ENSG00000006194.6	1.7964821	6	1.7964821	NoModel	0.06023453
samp69	ENSG00000006194.6	2.286004664	6	2.286004664	NoModel	0.064560127
samp70	ENSG00000006194.6	0.769937205	6	0.769937205	NoModel	0.032250063
samp71	ENSG00000006194.6	1.233195201	6	1.233195201	NoModel	0.060194359
samp72	ENSG00000006194.6	2.176573713	6	2.176573713	NoModel	0.059650139
samp73	ENSG00000006194.6	1.203331663	6	1.203331663	NoModel	0.059781143
samp74	ENSG00000006194.6	1.081827395	6	1.081827395	NoModel	0.055129585
samp75	ENSG00000006194.6	0.982552958	6	0.982552958	NoModel	0.050771671
samp76	ENSG00000006194.6	1.764853586	6	1.764853586	NoModel	0.058489208
samp77	ENSG00000006194.6	1.47691126	6	1.47691126	NoModel	0.059241118
samp78	ENSG00000006194.6	0.737732944	6	0.737732944	NoModel	0.047969233
samp79	ENSG00000006194.6	1.742153347	6	1.742153347	NoModel	0.045573695
samp80	ENSG00000006194.6	1.997132601	6	1.997132601	NoModel	0.039836148
samp81	ENSG00000006194.6	0.6750509	6	0.6750509	NoModel	0.05751501
samp82	ENSG00000006194.6	1.265028553	6	1.265028553	NoModel	0.069746418
samp83	ENSG00000006194.6	1.519019926	6	1.519019926	NoModel	0.038856218
samp84	ENSG00000006194.6	1.339823533	6	1.339823533	NoModel	0.049329188
samp85	ENSG00000006194.6	2.008819766	6	2.008819766	NoModel	0.054376778
samp86	ENSG00000006194.6	1.68892992	6	1.68892992	NoModel	0.072405712
samp87	ENSG00000006194.6	2.123143695	6	2.123143695	NoModel	0.06541932
samp88	ENSG00000006194.6	1.606273901	7	1.606273901	NoModel	0.056297965
samp89	ENSG00000006194.6	2.161575739	7	2.161575739	NoModel	0.045072767
samp90	ENSG00000006194.6	1.340367573	7	1.340367573	NoModel	0.057608662
samp91	ENSG00000006194.6	2.59956029	7	2.59956029	NoModel	0.057182509
samp92	ENSG00000006194.6	1.594664806	7	1.594664806	NoModel	0.061404734
samp93	ENSG00000006194.6	1.357732023	7	1.357732023	NoModel	0.057980454
samp94	ENSG00000006194.6	1.530369226	7	1.530369226	NoModel	0.067819453
samp95	ENSG00000006194.6	1.143974458	7	1.143974458	NoModel	0.065201048
samp96	ENSG00000006194.6	1.357190696	7	1.357190696	NoModel	0.039131794
samp97	ENSG00000006194.6	1.381467256	7	1.381467256	NoModel	0.049165728
samp98	ENSG00000006194.6	0.887801536	7	0.887801536	NoModel	0.054697973
samp99	ENSG00000006194.6	0.820218984	7	0.820218984	NoModel	0.061772986
samp100	ENSG00000006194.6	0.031972446	7	0.031972446	NoModel	0.047213911
samp101	ENSG00000006194.6	1.495689284	7	1.495689284	NoModel	0.067242755
samp102	ENSG00000006194.6	1.730504254	7	1.730504254	NoModel	0.063865632
samp103	ENSG00000006194.6	0.866043496	7	0.866043496	NoModel	0.066624926
samp104	ENSG00000006194.6	0.43502317	8	0.43502317	NoModel	0.078249792
samp105	ENSG00000006194.6	0.410935352	8	0.410935352	NoModel	0.056685318
samp106	ENSG00000006194.6	1.592641866	8	1.592641866	NoModel	0.066433415
samp107	ENSG00000006194.6	-1.9099221	8	-1.9099221	NoModel	0.107819667
samp108	ENSG00000006194.6	1.283878856	8	1.283878856	NoModel	0.070331616
samp109	ENSG00000006194.6	-0.179709728	8	-0.179709728	NoModel	0.054080822
samp110	ENSG00000006194.6	0.475732447	8	0.475732447	NoModel	0.062548733
samp111	ENSG00000006194.6	1.296021815	8	1.296021815	NoModel	0.060369905
samp112	ENSG00000006194.6	-0.297998015	8	-0.297998015	NoModel	0.07296407
samp113	ENSG00000006194.6	1.21801379	8	1.21801379	NoModel	0.059911797
samp114	ENSG00000006194.6	0.442076143	8	0.442076143	NoModel	0.050393798
samp115	ENSG00000006194.6	0.247175607	8	0.247175607	NoModel	0.055841801
samp116	ENSG00000006194.6	0.188553819	8	0.188553819	NoModel	0.067004345
samp117	ENSG00000006194.6	1.51798633	8	1.51798633	NoModel	0.070489748
samp118	ENSG00000006194.6	0.796123663	8	0.796123663	NoModel	0.059696412
samp119	ENSG00000006194.6	1.713934195	8	1.713934195	NoModel	0.061161284
samp120	ENSG00000006194.6	0.586973074	8	0.586973074	NoModel	0.053633768
samp121	ENSG00000006194.6	0.92785119	8	0.92785119	NoModel	0.057048239
samp122	ENSG00000006194.6	-1.015016229	8	-1.015016229	NoModel	0.071535559
samp123	ENSG00000006194.6	1.434285754	8	1.434285754	NoModel	0.059827566
samp124	ENSG00000006194.6	0.307022529	9	0.307022529	NoModel	0.040467821
samp125	ENSG00000006194.6	1.157762596	9	1.157762596	NoModel	0.055490557
samp126	ENSG00000006194.6	0.684919855	9	0.684919855	NoModel	0.06948568
samp127	ENSG00000006194.6	0.677685365	9	0.677685365	NoModel	0.064509529
samp128	ENSG00000006194.6	0.627953498	9	0.627953498	NoModel	0.070006226
samp129	ENSG00000006194.6	0.142008941	9	0.142008941	NoModel	0.058147561
samp130	ENSG00000006194.6	0.396687608	9	0.396687608	NoModel	0.034034173
samp131	ENSG00000006194.6	1.565216209	9	1.565216209	NoModel	0.057461503
samp132	ENSG00000006194.6	0.542082074	9	0.542082074	NoModel	0.050030986
samp133	ENSG00000006194.6	0.684919855	9	0.684919855	NoModel	0.064377286
samp134	ENSG00000006194.6	1.0618446	9	1.0618446	NoModel	0.058224551
samp135	ENSG00000006194.6	0.04384556	9	0.04384556	NoModel	0.063992217
samp136	ENSG00000006194.6	-0.384515581	9	-0.384515581	NoModel	0.031525709
samp137	ENSG00000006194.6	1.028679029	9	1.028679029	NoModel	0.052013156
samp138	ENSG00000006194.6	0.999397044	9	0.999397044	NoModel	0.066449535
samp139	ENSG00000006194.6	1.056535734	9	1.056535734	NoModel	0.064624094
samp140	ENSG00000006194.6	0.852296911	9	0.852296911	NoModel	0.055442769
samp141	ENSG00000006194.6	0.898320743	9	0.898320743	NoModel	0.056506597
samp142	ENSG00000006194.6	0.756447771	9	0.756447771	NoModel	0.052093958
samp143	ENSG00000006194.6	0.897084842	9	0.897084842	NoModel	0.062489282
