affected_status	SampID	variant_data	in_freeze	variable	value
Case	samp1	genome	yes	allhets	2374439
Case	samp2	genome	yes	allhets	2365368
Case	samp3	genome	yes	allhets	2325751
Case	samp4	genome	yes	allhets	2416718
Case	samp5	exome	yes	allhets	700
Case	samp6	exome	yes	allhets	69120
Case	samp7	genome	yes	allhets	2359049
Case	samp8	genome	yes	allhets	2423449
Case	samp9	genome	yes	allhets	2458637
Control	samp10	genome	yes	allhets	2197488
Control	samp11	genome	yes	allhets	2004117
Case	samp12	genome	yes	allhets	2077289
Case	samp13	genome	yes	allhets	2112390
Case	samp14	genome	yes	allhets	2065930
Control	samp15	genome	yes	allhets	2045558
Control	samp16	genome	yes	allhets	2257122
Case	samp17	genome	yes	allhets	2193921
Case	samp18	genome	yes	allhets	2147157
Case	samp19	genome	yes	allhets	2195753
Case	samp20	genome	yes	allhets	2284724
Case	samp21	genome	yes	allhets	1998428
Case	samp22	genome	yes	allhets	1972835
Case	samp23	genome	yes	allhets	2066426
Case	samp24	genome	yes	allhets	2148440
Case	samp25	genome	yes	allhets	2081634
Case	samp26	genome	yes	allhets	1938858
Case	samp27	genome	yes	allhets	2570339
Case	samp28	exome	yes	allhets	103114
Control	samp29	exome	yes	allhets	97774
Control	samp30	exome	yes	allhets	102515
Case	samp31	exome	yes	allhets	114819
Case	samp32	exome	yes	allhets	119751
Case	samp33	exome	yes	allhets	115571
Case	samp34	exome	yes	allhets	91293
Control	samp35	genome	yes	allhets	2590414
Control	samp36	genome	yes	allhets	2568444
Case	samp37	genome	yes	allhets	2589463
Case	samp38	exome	yes	allhets	91945
Control	samp39	exome	yes	allhets	91899
Control	samp40	exome	yes	allhets	94313
Case	samp41	exome	yes	allhets	89639
Case	samp42	exome	yes	allhets	93292
Case	samp43	exome	yes	allhets	98347
Control	samp44	exome	yes	allhets	90029
Control	samp45	exome	yes	allhets	102146
Case	samp46	exome	yes	allhets	179023
Control	samp47	exome	yes	allhets	194737
Case	samp48	exome	yes	allhets	226784
Case	samp49	exome	yes	allhets	181665
Case	samp50	exome	yes	allhets	198378
Control	samp51	exome	yes	allhets	141173
Case	samp52	exome	yes	allhets	180308
Control	samp53	exome	yes	allhets	202247
Case	samp54	exome	yes	allhets	184168
Case	samp55	exome	yes	allhets	182206
Case	samp56	genome	yes	allhets	0
Control	samp57	genome	yes	allhets	0
Control	samp58	exome	yes	allhets	90161
Control	samp59	exome	yes	allhets	90227
Case	samp60	exome	yes	allhets	0
Case	samp61	exome	yes	allhets	0
Control	samp62	exome	yes	allhets	0
Control	samp63	exome	yes	allhets	0
Case	samp64	genome	yes	allhets	2582304
Case	samp65	genome	yes	allhets	2584984
Control	samp66	genome	yes	allhets	0
Control	samp67	genome	yes	allhets	2564989
Control	samp68	genome	yes	allhets	2647514
Case	samp69	exome	yes	allhets	0
Case	samp70	exome	yes	allhets	80558
Control	samp71	exome	yes	allhets	0
